id,name,name,type,level,desc,strengthBody,strengthBody,SkillParameter,attackTimes,targetType,targetType,buffId,buffStay,buffLast,status
序号,名称(策划用),名称ID,技能类型,技能等级,技能说明,强度参数(本体),强度参数(副属性),技能参数1,攻击次数,攻击目标,攻击目标,附加BUFF的id,buff存在方式,附加BUFF持续时间,状态
int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
11位ID,,,1 普通攻击技能 2 重击技能 3 大招技能 4 超萌技能（不同类型技能伤害计算逻辑不同） 5 子技能,,填写字表ID,用于公式计算的参数,用于公式计算的参数,用于技能计算的参数,执行技能逻辑次数,1.单体（多次不同目标） 2.单体（多次相同目标）3 同时多个目标 4 指定目标优先,4 指定目标优先（参数：1 仇恨值最高单位 2仇恨值最低的单位 3血量最少单位）,,1)按时间存在每秒生效一次 2）按自身行动次数生效,存在时间/持续回合数,
20110010101,日天爪击,20110010101,1,1,100000001,220,0.35,,1,2,,,,,1
20110010102,日天爪击,20110010102,1,2,100000001,220,0.35,,1,2,,,,,1
20110010103,日天爪击,20110010103,1,3,100000001,220,0.35,,1,2,,,,,1
20110010104,日天爪击,20110010104,1,4,100000001,220,0.35,,1,2,,,,,1
20110010105,日天爪击,20110010105,1,5,100000001,220,0.35,,1,2,,,,,1
20110010106,日天爪击,20110010106,1,6,100000001,220,0.35,,1,2,,,,,1
20110010107,日天爪击,20110010107,1,7,100000001,220,0.35,,1,2,,,,,1
20110010108,日天爪击,20110010108,1,8,100000001,220,0.35,,1,2,,,,,1
20110010109,日天爪击,20110010109,1,9,100000001,220,0.35,,1,2,,,,,1
20110010110,日天爪击,20110010110,1,10,100000001,220,0.35,,1,2,,,,,1
20210010101,日天重击,20210010101,2,1,100000001,490,2000,,3,1,,,,,1
20210010102,日天重击,20210010102,2,2,100000001,490,2000,,3,1,,,,,1
20210010103,日天重击,20210010103,2,3,100000001,490,2000,,3,1,,,,,1
20210010104,日天重击,20210010104,2,4,100000001,490,2000,,3,1,,,,,1
20210010105,日天重击,20210010105,2,5,100000001,490,2000,,3,1,,,,,1
20210010106,日天重击,20210010106,2,6,100000001,490,2000,,3,1,,,,,1
20210010107,日天重击,20210010107,2,7,100000001,490,2000,,3,1,,,,,1
20210010108,日天重击,20210010108,2,8,100000001,490,2000,,3,1,,,,,1
20210010109,日天重击,20210010109,2,9,100000001,490,2000,,3,1,,,,,1
20210010110,日天重击,20210010110,2,10,100000001,490,2000,,3,1,,,,,1
20310010101,日天大招,20310010101,3,1,100000001,110,2000,,1,3,3,,,,1
20310010102,日天大招,20310010102,3,2,100000001,115,2000,,1,3,3,,,,1
20310010103,日天大招,20310010103,3,3,100000001,120,2000,,1,3,3,,,,1
20310010104,日天大招,20310010104,3,4,100000001,125,2000,,1,3,3,,,,1
20310010105,日天大招,20310010105,3,5,100000001,130,2000,,1,3,3,,,,1
20310010106,日天大招,20310010106,3,6,100000001,135,2000,,1,3,3,,,,1
20410010101,日天超萌,20410010101,4,1,100000001,180,350,,1,4,1,,,,1
20410010102,日天超萌,20410010102,4,2,100000001,180,350,,1,4,1,,,,1
20410010103,日天超萌,20410010103,4,3,100000001,180,350,,1,4,1,,,,1
20410010104,日天超萌,20410010104,4,4,100000001,180,350,,1,4,1,,,,1
20410010105,日天超萌,20410010105,4,5,100000001,180,350,,1,4,1,,,,1
20410010106,日天超萌,20410010106,4,6,100000001,180,350,,1,4,1,,,,1
20410010107,日天超萌,20410010107,4,7,100000001,180,350,,1,4,1,,,,1
20410010108,日天超萌,20410010108,4,8,100000001,180,350,,1,4,1,,,,1
20410010109,日天超萌,20410010109,4,9,100000001,180,350,,1,4,1,,,,1
20410010110,日天超萌,20410010110,4,10,100000001,180,350,,1,4,1,,,,1
